MSFT
AAPL
CSCO
ORCL
INTC
QCOM
AMGN
GILD
RIMM
AMZN
EBAY
YHOO
COST
ADP
NWSA
ATVI
ADBE
AMAT
SPLS
BIIB
FSLR
NTRS
SYMC
PCAR
TROW
SBUX
PAYX
INTU
CA
CHRW
NWS
BBBY
SHLD
MRVL
FISV
EXPD
HCBK
NTAP
NVDA
ISRG
SIAL
VRTX
CTXS
XLNX
PBCT
STX
LLTC
ORLY
CERN
MXIM
FAST
ROST
GRMN
ALTR
ILMN
PCLN
XRAY
KLAC
WYNN
SRCL
ADSK
HSIC
NDAQ
MCHP
FITB
EXPE
MYL
JBHT
DLTR
QGEN
CINF
ACGL
HOLX
VRSN
CTAS
AKAM
URBN
SEIC
FLIR
GOOG
TFSL
LRCX
NIHD
ALXN
NUAN
STLD
BRCD
ONNN
STRA
FWLT
CPRT
CFFN
SBAC
SNPS
DNDN
EQIX
ANSS
PETM
FFIV
IDXX
PDCO
CREE
BOKF
MYGN
CBSH
SOHU
TECH
TRMB
NFLX
MDRX
PENN
WOOF
GMCR
IACI
LINE
CECO
UTHR
ITRI
MCRS
ANAT
MORN
PTEN
OTEX
SLGN
LSTR
PMCS
VPRT
NATI
CTCM
SIRI
JKHY
FNFG
RGLD
PLCM
TTEK
SLAB
ATML
CPWR
SWKS
TECD
FOSL
PAAS
RMBS
QSII
ISIS
BRKR
UMBF
RVBD
NUVA
CDNS
GNTX
ASBC
CNQR
ARRS
LECO
BMRN
QLGC
THOR
HBAN
TSCO
INFA
COCO
WABC
LPNT
BEAV
REGN
ADTN
DRIV
FMER
PMTC
WERN
SYNT
HTLD
CASY
NDSN
SYNA
JACK
MASI
ZION
SSRI
LANC
TIBX
AUXL
ODFL
TSRA
ARLP
ATHN
RCII
JBLU
JDSU
MELI
MGLN
UNFI
MSCC
AHGP
MEOH
SIRO
TKLC
AMSC
PSSI
TIVO
ICON
SBNY
TRMK
ASCA
CHSI
BWEN
ISBC
HMSY
MDAS
CAKE
IDCC
COLM
FFIN
GYMB
HITT
ALKS
HBHC
RFMD
IDTI
CBST
TWGP
CPLA
HURN
JCOM
PVTB
EEFT
SMTC
TNDM
TTEC
PEGA
PDLI
MANT
AMAG
SAFM
CIEN
VCLK
DECK
AMED
ALNY
FULT
VIVO
LULU
CMTL
ACOR
BOBE
SIVB
GBCI
AGII
FORM
INFN
FEIC
UBSI
AMKR
USTR
PRGS
PRXL
SGEN
PLXS
VSAT
ADVS
MIDD
MLHR
CSTR
THRX
CSGP
TQNT
HCSG
ELNK
PLCE
SAPE
POOL
KRNY
UEPS
BNCL
MGEE
OTTR
ALGT
SYKE
NTLS
RECN
LOPE
ETFC
IART
LMNX
NAVG
MPWR
LNCE
TTWO
NBTB
ARUN
UHAL
BLKB
IBOC
CTIC
KALU
MDVN
STFC
ALGN
ACAS
PZZA
CAVM
CVLT
APEI
ABFS
CACC
ITMN
SCHL
ACXM
SIGI
AVAV
DIOD
CCMP
AFSI
MKSI
TRAK
JJSF
AMSG
BECN
VOLC
GERN
DMLP
HAIN
ULTA
ASTE
CBRL
POWI
SCSC
UFPI
IIVI
OPEN
XNPT
IBKR
FWRD
JOSB
IBKC
WMGI
SATS
SONC
ASEI
PRAA
NILE
FELE
ICUI
ATNI
RSTI
ULTI
BEBE
BWLD
NCMI
CWTR
MENT
SYUT
NKTR
GLNG
BBOX
SKYW
BPOP
HSNI
CTCT
CGNX
FORR
EPIQ
ANDE
HLIT
LINC
BRKL
PICO
CPHD
HALO
UNTD
IILG
GTLS
AMCC
CALM
EFII
MFLX
MINI
NFBK
CRZO
HELE
BANF
LORL
EXEL
FRED
OVTI
HIBB
CVBF
FCFS
ORIT
ATMI
PSMT
IPCC
IPGP
THQI
AAWW
COHR
MNRO
GTIV
WIRE
SHEN
IMGN
MHLD
FIZZ
ACIW
TCBI
WDFC
MCRL
SAFT
CHFC
CSGS
CHCO
RAVN
CATY
GHDX
DMND
ALOG
UFCS
MNTA
SLXP
CYBX
CHDN
DTSI
ROSE
HWAY
MGRC
SHOO
MSTR
UMPQ
MRTN
BCPC
NSIT
CNMD
MMSI
TRST
ROLL
NTRI
SONS
IPXL
CENX
STNR
endofstock
MDCO
BJRI
CLNE
LFUS
BRLI
NEOG
CSIQ
MWIV
ABAX
IPCM
KAMN
USNA
IMAX
ENOC
ISLE
SIGM
EHTH
VVUS
PNFP
EGOV
POWL
XXIA
OFIX
QDEL
SMBL
CPSI
LOGM
SRCE
LHCG
AFFX
endofstock
BKMU
INDB
CBEY
THFF
SUSQ
MANH
EWBC
CTBI
SHLM
JRCC
SDXC
IVAN
AEIS
SRDX
ZOLL
PACW
WSBC
RNWK
MYRG
DRYS
LAYN
AIRV
FFBC
SNCR
ABCO
BBEP
HGSI
ARNA
COKE
SCOR
VECO
VOCS
SMRT
WTFC
PAET
VITA
TKTM
NPBC
HOMB
SUNH
ROMA
SFNC
FARM
SONE
SCHS
NTCT
TMRK
FRPT
CTRN
IGTE
HRBN
TRAD
RNOW
PANL
SHFL
NOVN
MDSO
ARAY
VPFG
MBFI
SHOR
JAKK
PTRY
ENZN
